date,symbol,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,target_log_ret_close_next_1d
2020-11-15,BTCUSDT,16069.56,16180.0,15774.72,15957.0,43596.841513,-0.007084577418178802,-0.304522782809776,0.5531794181163014,70.53101511280963,42.099798266615835,0.04632335988450774
2020-11-16,BTCUSDT,15957.0,16880.0,15864.0,16713.57,81300.675924,0.04632335988450774,0.6231696250990151,1.0743309754046624,75.48937493081196,56.263318305696885,0.055046122658961215
2020-11-17,BTCUSDT,16713.08,17858.82,16538.0,17659.38,115221.403102,0.055046122658961215,0.3487011913532432,1.6065008823009983,80.01617190582729,113.91978366791727,0.006588896577796588
2020-11-18,BTCUSDT,17659.38,18476.93,17214.45,17776.12,149019.788134,0.006588896577796588,0.2572235815751569,1.8775219346027978,80.49500369329314,142.645380601336,0.00150088816654907
2020-11-19,BTCUSDT,17777.75,18179.8,17335.65,17802.82,93009.561008,0.00150088816654907,-0.47137680898928336,1.0398049996836258,80.60944185014426,145.66056630287062,0.04679324961628493
2020-11-20,BTCUSDT,17802.81,18815.22,17740.04,18655.67,88423.018489,0.04679324961628493,-0.05056996851163436,1.0032492267378783,83.86571471158028,184.79387638911794,0.0025765904402387323
2020-11-21,BTCUSDT,18655.66,18965.9,18308.58,18703.8,75577.458394,0.0025765904402387323,-0.15697425656240446,0.8401661062707417,84.02871866235685,192.73736128430755,-0.0155921153820781
2020-11-22,BTCUSDT,18703.8,18750.0,17610.86,18414.43,81645.737778,-0.0155921153820781,0.07723154759456564,0.8845024732852156,78.86954596735406,158.73750842128788,-0.002524576253394546
2020-11-23,BTCUSDT,18413.88,18766.0,18000.0,18368.0,82961.506093,-0.002524576253394546,0.015987101277221322,0.8487760060818285,78.04158800891948,115.37278085495404,0.04221527432609045
2020-11-24,BTCUSDT,18368.01,19418.97,18018.0,19160.01,113581.509241,0.04221527432609045,0.31414400406819853,1.1592341510510413,81.59161255210078,121.65590607439663,-0.023280367279034576
2020-11-25,BTCUSDT,19160.0,19484.21,18500.27,18719.11,93266.576887,-0.023280367279034576,-0.19705891132237974,0.9541775948739294,74.38229557525551,79.76925745900371,-0.08757765783988204
2020-11-26,BTCUSDT,18718.83,18915.03,16188.0,17149.47,181005.246693,-0.08757765783988204,0.6630642071496196,2.01608042636451,55.56055374942801,-62.3288649886033,-0.000580361234278455
2020-11-27,BTCUSDT,17149.47,17457.62,16438.08,17139.52,85297.024787,-0.000580361234278455,-0.7523864436126243,0.8333728267987381,55.464742843859085,-160.11074725974322,0.03329857201976857
2020-11-28,BTCUSDT,17139.53,17880.49,16865.56,17719.85,64910.69997,0.03329857201976857,-0.27312709579948075,0.6369726168666033,59.81711586020808,-186.95496551259725,0.02591104840521473
2020-11-29,BTCUSDT,17719.84,18360.05,17517.0,18184.99,55329.016303,0.02591104840521473,-0.15971500066340125,0.5511891077515905,62.94308546366885,-174.85466048258377,0.07981244056034183
2020-11-30,BTCUSDT,18185.0,19863.16,18184.99,19695.87,115463.466888,0.07981244056034183,0.7356566979028463,1.1950061065090882,70.87015670167449,-71.84378782275712,-0.0484176681386951
2020-12-01,BTCUSDT,19695.87,19888.0,18001.12,18764.96,127698.762652,-0.0484176681386951,0.10071989757336883,1.2610381230433887,62.06117148770607,-72.91751957353654,0.023131976224671752
2020-12-02,BTCUSDT,18764.96,19342.0,18330.0,19204.09,75911.013478,0.023131976224671752,-0.5201122945137104,0.7349910931722943,64.31449930527118,-51.57423220882151,0.011278018177224554
2020-12-03,BTCUSDT,19204.08,19598.0,18867.2,19421.9,66689.391279,0.011278018177224554,-0.1295158900046201,0.6615868232363927,65.4118297786542,-31.30581919263841,-0.04052726761991646
2020-12-04,BTCUSDT,19422.34,19527.0,18565.31,18650.52,71283.6682,-0.04052726761991646,0.06662135469684219,0.8438799332381078,58.545645050554945,-75.83006287394619,0.02630648721030668
2020-12-05,BTCUSDT,18650.51,19177.0,18500.0,19147.66,42922.748573,0.02630648721030668,-0.5072652885215275,0.520468589645002,61.360679312373314,-77.50423914618227,0.01099757468367193
2020-12-06,BTCUSDT,19147.66,19420.0,18857.0,19359.4,37043.091861,0.01099757468367193,-0.14732007529417127,0.4669593831898287,62.52784126152489,-70.26997363857754,-0.009993256658502918
2020-12-07,BTCUSDT,19358.67,19420.91,18902.88,19166.9,41372.296293,-0.009993256658502918,0.11052960530594064,0.5392914813254253,60.731743805065065,-83.4687944981074,-0.044967153911558415
2020-12-08,BTCUSDT,19166.9,19294.84,18200.0,18324.11,61626.947614,-0.044967153911558415,0.3984877509781157,0.9318839695707001,53.487661192746835,-150.0925203757496,0.011781918605685223
2020-12-09,BTCUSDT,18324.11,18639.57,17650.0,18541.28,79585.553801,0.011781918605685223,0.25573335532047275,1.4038051142657866,54.97790884683096,-178.72315375063556,-0.015580851185682042
2020-12-10,BTCUSDT,18541.29,18557.32,17911.12,18254.63,52890.675094,-0.015580851185682042,-0.4086055423572704,0.9243765796058807,52.58308734617939,-213.78485684716554,-0.01201960068239654
2020-12-11,BTCUSDT,18254.81,18292.73,17572.33,18036.53,72610.724259,-0.01201960068239654,0.31688557887714736,1.3143062750320813,50.77096001756336,-246.17747765397223,0.041919851281025024
2020-12-12,BTCUSDT,18036.53,18948.66,18020.7,18808.69,49519.978432,0.041919851281025024,-0.38273643515272415,0.8932818682300218,56.48819504164213,-211.44192664110517,0.019287828659587614
2020-12-13,BTCUSDT,18808.69,19411.0,18711.12,19174.99,56560.821744,0.019287828659587614,0.13294035736059753,1.0032344792188732,58.92518954009285,-161.8717511182441,0.005105590997883581
2020-12-14,BTCUSDT,19174.99,19349.0,19000.0,19273.14,47257.201294,0.005105590997883581,-0.17971149953024274,0.7987126238083744,59.57846792463338,-122.34583894732077,0.007922093279086292
2020-12-15,BTCUSDT,19273.69,19570.0,19050.0,19426.43,61834.366011,0.007922093279086292,0.26885424356103793,1.0304454277456265,60.63159019542499,-87.3897331872555,0.09373877942102818
2020-12-16,BTCUSDT,19426.43,21560.0,19278.6,21335.52,114306.33557,0.09373877942102818,0.614422704347011,1.903930049144429,70.82595093726165,55.119882630284906,0.06626267735967427
