date,symbol,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,target_log_ret_close_next_1d
2021-07-14,ETHUSDT,1940.44,2019.18,1865.0,1994.58,690505.60937,0.02766821218840126,0.06447790512396655,1.1202330142036219,42.58120206003146,-6.669846089462375,-0.038363556727093254
2021-07-15,ETHUSDT,1994.41,2042.88,1881.0,1919.51,645271.32563,-0.038363556727093254,-0.06775320821671936,1.041056056171019,40.09414210886627,-12.578692911087032,-0.022789511403690434
2021-07-16,ETHUSDT,1919.54,1965.0,1850.0,1876.26,577068.89724,-0.022789511403690434,-0.1117092228930311,0.9843337733770832,38.69199419527217,-17.775007976041323,0.012357639681334047
2021-07-17,ETHUSDT,1876.47,1919.19,1844.45,1899.59,430300.51578,0.012357639681334047,-0.293477826845708,0.7640607639725056,39.91269420099705,-17.96282962206793,-0.004193895729117328
2021-07-18,ETHUSDT,1899.5,1993.79,1877.1,1891.64,534837.63654,-0.004193895729117328,0.21747937923694788,0.9665426563824252,39.62317451621943,-16.956854304708656,-0.039305722370065674
2021-07-19,ETHUSDT,1891.65,1919.0,1805.0,1818.73,547419.93771,-0.039305722370065674,0.02325300077160499,0.9424341753812506,36.974241484919254,-19.362312407436676,-0.018143175687965012
2021-07-20,ETHUSDT,1818.73,1841.34,1706.0,1786.03,786257.272,-0.018143175687965012,0.3620678384340008,1.3513581522504592,35.817690897210525,-21.16965391017338,0.11089936588098752
2021-07-21,ETHUSDT,1786.03,2035.23,1747.55,1995.5,1115949.82033,0.11089936588098752,0.3501771211298519,1.854766654292566,47.209223852572585,-7.004390117250324,0.01445774749165598
2021-07-22,ETHUSDT,1995.5,2046.0,1947.62,2024.56,768854.3659,0.01445774749165598,-0.37255960764191703,1.1606336477126193,48.57291861190736,4.932246391767123,0.04806640590320617
2021-07-23,ETHUSDT,2024.27,2130.9,1993.22,2124.25,708160.91322,0.04806640590320617,-0.08223022399724458,1.0412625084142362,53.053204687475684,19.342484292982363,0.028082606624002943
2021-07-24,ETHUSDT,2124.26,2199.5,2105.58,2184.75,633075.18592,0.028082606624002943,-0.1120821542136483,0.9059127522863627,55.58226253200386,32.00261946333376,0.0023042432941544413
2021-07-25,ETHUSDT,2184.9,2197.41,2105.93,2189.79,535630.27,0.0023042432941544413,-0.16714506393873044,0.7359645333365422,55.79589891644074,39.28989086304355,0.01733457924346726
2021-07-26,ETHUSDT,2189.82,2433.65,2171.57,2228.08,1393738.163,0.01733457924346726,0.9563006139807615,1.9147205629146735,57.46952536040695,44.85993224569859,0.03154713115377506
2021-07-27,ETHUSDT,2227.81,2319.26,2150.5,2299.49,906359.23478,0.03154713115377506,-0.4303090084227768,1.0678006225430579,60.47508442442336,51.07305251442349,0.0006129915264366464
